Price List,,,,,,,,,
,,,,,,,,,
Business Cards, 2x3.5 Qty,,Cost (1sided),,Cost (2sided),,Reorders w/no changes $15.00 less,,
Tickets (Standard 2x6),QTY,Print Ready,Design + Setup Included,,,,,,
1-sided Print Only ,50,$69.95,$79.95,,,35,,,
Stock:14 PT,100,$79.95,$99.95,,,,,,
,250,$139.95,$159.95,,,,,,
,500,$179.95,$199.95,,,,,,
,1000,$210.95,$239.95,,,,,,
,1500,$259.95,$279.95,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Raffle Tickets  (Standard Size 2x6),QTY,Black/White,Color,,,,,,
Tickets are perforated and has numbers,250,$105.00,$175.00,,,,,,
,500,$159.00,$225.00,,,,,,
,1000,$225.00,$299.00,,,,,,
,,,,,,,,,
Tithing Envelope (Size 6 3/4),QTY,Black/White,Color,,,,,,
,500,$129.00,$225.00,,,,,,
,1000,$159.00,$290.00,"189,00 for 1500 b &w (Mia)",1250 179.0 (c.s.gbt),,,,
,2500,$269.00,,,,,,,
,5000,$485.00,,,,,,,
,,,,,,,,,
Mailing Envelope #10 (Size 4.25 x 9.5),QTY,Black/White,Color ,,,,,,
,250,$89.95,$169.95,,,,,,
,500,$149.95,$249.95,,,,,,
,1000,$189.95,$315.95,,,,,,
,2500,,,,,,,,
,5000,,,,,,,,
,,,,,,,,,
Lamination Service ,Sizes,Per Unit,,,,,,,
Discount if available if multiple of same file. ,Wallet ,$4.00,,,,,,,
,Letter (8.5x11),$5.00,,,,,,,
,Legal (8.5x14),$6.00,,,,,,,
,Tabloid (11x17),$10.00,,,,,,,
,12x18,$10.00,,,,,,,
,,,,,,,,,
Door Hanger 4.25 x11 (Standard Size),QTY,,,,,,,,
Stock 14PT,500,$389.02,,,,,,,
Design Included ,1000,$432.67,,,,,,,
,,,,,,,,,
Labels/ Stickers In-House Small Run,2 x 2 ,,,,,,,,
